locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNJIGEIF_01566	CDS	450				hypothetical protein
HNJIGEIF_01567	CDS	207				hypothetical protein
HNJIGEIF_01568	CDS	3051	uvrA_1		COG0178	UvrABC system protein A
HNJIGEIF_01569	CDS	1374	nrgA			Ammonium transporter
HNJIGEIF_01570	CDS	1263	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
HNJIGEIF_01571	CDS	1941	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
HNJIGEIF_01572	CDS	3054	tolB_2			Tol-Pal system protein TolB
HNJIGEIF_01573	CDS	813	yddE	5.1.-.-	COG0384	putative isomerase YddE
HNJIGEIF_01574	CDS	1101	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
HNJIGEIF_01575	CDS	1899		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
HNJIGEIF_01576	tRNA	78				tRNA-Pro(cgg)
HNJIGEIF_01577	CDS	492				hypothetical protein
HNJIGEIF_01578	CDS	1326	thrC	4.2.3.1	COG0498	Threonine synthase
HNJIGEIF_01579	CDS	720				hypothetical protein
HNJIGEIF_01580	CDS	1638	ade_1	3.5.4.2	COG1001	Adenine deaminase
HNJIGEIF_01581	CDS	1446				hypothetical protein
HNJIGEIF_01582	CDS	1593	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
HNJIGEIF_01583	CDS	603	rnhB	3.1.26.4	COG0164	Ribonuclease HII
HNJIGEIF_01584	CDS	783				hypothetical protein
HNJIGEIF_01585	CDS	966	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HNJIGEIF_01586	CDS	951	ctaB1	2.5.1.141	COG0109	Protoheme IX farnesyltransferase 1
HNJIGEIF_01587	CDS	993	ctaA	1.3.-.-		Heme A synthase
HNJIGEIF_01588	CDS	1410	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
HNJIGEIF_01589	CDS	294				hypothetical protein
HNJIGEIF_01590	CDS	1533	menE_2	6.2.1.26		2-succinylbenzoate--CoA ligase
HNJIGEIF_01591	CDS	492				hypothetical protein
HNJIGEIF_01592	CDS	1197	metC_2	4.4.1.13	COG0626	Cystathionine beta-lyase
HNJIGEIF_01593	CDS	1551				hypothetical protein
HNJIGEIF_01594	CDS	1005				hypothetical protein
HNJIGEIF_01595	CDS	1290				hypothetical protein
HNJIGEIF_01596	CDS	447				hypothetical protein
HNJIGEIF_01597	CDS	450				hypothetical protein
HNJIGEIF_01598	CDS	1233				hypothetical protein
HNJIGEIF_01599	CDS	849	nth	4.2.99.18		Endonuclease III
HNJIGEIF_01600	CDS	1572	gpmI_1	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
HNJIGEIF_01601	CDS	1806				hypothetical protein
HNJIGEIF_01602	CDS	1092	hrcA		COG1420	Heat-inducible transcription repressor HrcA
HNJIGEIF_01603	CDS	663	grpE			Protein GrpE
HNJIGEIF_01604	CDS	1167	dnaJ_3		COG0484	Chaperone protein DnaJ
HNJIGEIF_01605	CDS	543		1.5.1.37		Flavin reductase
HNJIGEIF_01606	CDS	843				hypothetical protein
HNJIGEIF_01607	CDS	1008	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
HNJIGEIF_01608	CDS	417		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
HNJIGEIF_01609	CDS	1272				hypothetical protein
HNJIGEIF_01610	CDS	1137	acuC_2			Acetoin utilization protein AcuC
HNJIGEIF_01611	CDS	393				hypothetical protein
HNJIGEIF_01612	CDS	693				hypothetical protein
HNJIGEIF_01613	CDS	1632	murF	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
HNJIGEIF_01614	CDS	777		3.1.1.10		Tropinesterase
HNJIGEIF_01615	CDS	1122	rho_2	3.6.4.-	COG1158	Transcription termination factor Rho
HNJIGEIF_01616	CDS	777				hypothetical protein
HNJIGEIF_01617	CDS	378				hypothetical protein
HNJIGEIF_01618	CDS	1440	glyQS	6.1.1.14		Glycine--tRNA ligase
HNJIGEIF_01619	CDS	1188	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
HNJIGEIF_01620	CDS	672	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HNJIGEIF_01621	CDS	444				hypothetical protein
HNJIGEIF_01622	CDS	1482	cry2		COG0415	Cryptochrome-like protein cry2
HNJIGEIF_01623	CDS	948				hypothetical protein
HNJIGEIF_01624	CDS	1053	sfnG	1.14.14.35		FMNH(2)-dependent dimethylsulfone monooxygenase
HNJIGEIF_01625	CDS	837	btsR_1		COG3279	Transcriptional regulatory protein BtsR
HNJIGEIF_01626	CDS	1161				hypothetical protein
HNJIGEIF_01627	CDS	2472				hypothetical protein
HNJIGEIF_01628	CDS	1047				hypothetical protein
HNJIGEIF_01629	CDS	474				hypothetical protein
HNJIGEIF_01630	CDS	2211	rcsC_17	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_01631	CDS	948				hypothetical protein
HNJIGEIF_01632	CDS	1557				hypothetical protein
HNJIGEIF_01633	CDS	510				hypothetical protein
HNJIGEIF_01634	CDS	762		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
HNJIGEIF_01635	CDS	942	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
HNJIGEIF_01636	CDS	783				queuosine precursor transporter
HNJIGEIF_01637	CDS	3270	rep	3.6.4.12		ATP-dependent DNA helicase Rep
HNJIGEIF_01638	CDS	948	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
HNJIGEIF_01639	CDS	2709	btuB_4			Vitamin B12 transporter BtuB
HNJIGEIF_01640	CDS	1338	steT_1		COG0531	Serine/threonine exchanger SteT
HNJIGEIF_01641	tRNA	88				tRNA-Leu(gag)
HNJIGEIF_01642	tRNA	75				tRNA-Lys(ttt)
HNJIGEIF_01643	CDS	603				hypothetical protein
HNJIGEIF_01644	CDS	1392	amyB	3.2.1.1		Alpha-amylase 2
HNJIGEIF_01645	CDS	1224	ymfD			Bacillibactin exporter
HNJIGEIF_01646	CDS	1020	adh_2	1.1.1.1		Alcohol dehydrogenase
HNJIGEIF_01647	CDS	1638				hypothetical protein
HNJIGEIF_01648	CDS	624				hypothetical protein
HNJIGEIF_01649	CDS	513				hypothetical protein
HNJIGEIF_01650	CDS	1875				hypothetical protein
HNJIGEIF_01651	CDS	672				hypothetical protein
HNJIGEIF_01652	CDS	705				hypothetical protein
HNJIGEIF_01653	CDS	687				hypothetical protein
HNJIGEIF_01654	CDS	210				hypothetical protein
HNJIGEIF_01655	CDS	678	xerC_3			Tyrosine recombinase XerC
HNJIGEIF_01656	CDS	150				hypothetical protein
HNJIGEIF_01657	CDS	204				hypothetical protein
HNJIGEIF_01658	CDS	105				hypothetical protein
HNJIGEIF_01659	CDS	1188				hypothetical protein
HNJIGEIF_01660	CDS	1785				hypothetical protein
HNJIGEIF_01661	CDS	312				hypothetical protein
HNJIGEIF_01662	CDS	243				hypothetical protein
HNJIGEIF_01663	CDS	1602				hypothetical protein
HNJIGEIF_01664	CDS	822	scpA		COG1354	Segregation and condensation protein A
HNJIGEIF_01665	CDS	1014	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
HNJIGEIF_01666	CDS	2139	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
HNJIGEIF_01667	CDS	267	rpsO			30S ribosomal protein S15
HNJIGEIF_01668	CDS	936	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
HNJIGEIF_01669	CDS	399	rbfA		COG0858	30S ribosome-binding factor
HNJIGEIF_01670	CDS	3090	infB			Translation initiation factor IF-2
HNJIGEIF_01671	CDS	1641	nusA			Transcription termination/antitermination protein NusA
HNJIGEIF_01672	CDS	468	rimP			Ribosome maturation factor RimP
HNJIGEIF_01673	CDS	1050	prfB			Peptide chain release factor 2
HNJIGEIF_01674	CDS	1203	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
HNJIGEIF_01675	CDS	1488	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
HNJIGEIF_01676	CDS	309				hypothetical protein
HNJIGEIF_01677	CDS	351				hypothetical protein
HNJIGEIF_01678	CDS	738				hypothetical protein
HNJIGEIF_01679	CDS	1422		1.1.1.38		NAD-dependent malic enzyme
HNJIGEIF_01680	CDS	2616	pnp_2	2.7.7.8		Polyribonucleotide nucleotidyltransferase
HNJIGEIF_01681	CDS	684	cmk	2.7.4.25		Cytidylate kinase
HNJIGEIF_01682	CDS	615				hypothetical protein
HNJIGEIF_01683	CDS	564	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
HNJIGEIF_01684	CDS	2022	bhbA	5.4.99.2		Methylmalonyl-CoA mutase
HNJIGEIF_01685	CDS	2154	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
HNJIGEIF_01686	CDS	1038		3.6.-.-	COG1703	putative GTPase
HNJIGEIF_01687	CDS	501				hypothetical protein
HNJIGEIF_01688	CDS	2367	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
HNJIGEIF_01689	CDS	1467	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
HNJIGEIF_01690	CDS	2001	surA_2	5.2.1.8		Chaperone SurA
HNJIGEIF_01691	CDS	870				hypothetical protein
HNJIGEIF_01692	CDS	1395	surA_3	5.2.1.8		Chaperone SurA
HNJIGEIF_01693	CDS	996	ravA	3.6.3.-		ATPase RavA
HNJIGEIF_01694	CDS	771	fpr	1.18.1.2	COG1018	Ferredoxin--NADP reductase
HNJIGEIF_01695	CDS	567				hypothetical protein
HNJIGEIF_01696	CDS	804				hypothetical protein
HNJIGEIF_01697	CDS	405				hypothetical protein
HNJIGEIF_01698	CDS	1407	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
HNJIGEIF_01699	CDS	3426	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
HNJIGEIF_01700	CDS	3093	rexB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
HNJIGEIF_01701	CDS	546				hypothetical protein
HNJIGEIF_01702	CDS	300				hypothetical protein
HNJIGEIF_01703	CDS	1392				hypothetical protein
HNJIGEIF_01704	CDS	321				hypothetical protein
HNJIGEIF_01705	CDS	528				hypothetical protein
HNJIGEIF_01706	CDS	3597				hypothetical protein
HNJIGEIF_01707	tRNA	73				tRNA-Met(cat)
HNJIGEIF_01708	tRNA	74				tRNA-Thr(ggt)
HNJIGEIF_01709	tRNA	73				tRNA-Gly(tcc)
HNJIGEIF_01710	tRNA	85				tRNA-Tyr(gta)
HNJIGEIF_01711	CDS	1053				hypothetical protein
HNJIGEIF_01712	CDS	405	msrB_2	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
HNJIGEIF_01713	CDS	2052	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
HNJIGEIF_01714	CDS	1980	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
HNJIGEIF_01715	CDS	1101				hypothetical protein
HNJIGEIF_01716	CDS	369				hypothetical protein
HNJIGEIF_01717	CDS	630				hypothetical protein
HNJIGEIF_01718	CDS	855	flA	2.5.1.63	COG1912	5'-fluoro-5'-deoxy-adenosine synthase
HNJIGEIF_01719	CDS	1272				hypothetical protein
HNJIGEIF_01720	CDS	1401	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
HNJIGEIF_01721	CDS	1320	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HNJIGEIF_01722	CDS	912	secF		COG0341	Protein translocase subunit SecF
HNJIGEIF_01723	CDS	1965	secD			Protein translocase subunit SecD
HNJIGEIF_01724	CDS	264				hypothetical protein
HNJIGEIF_01725	CDS	855		3.1.1.23	COG2267	Monoacylglycerol lipase
HNJIGEIF_01726	CDS	744			COG2968	26 kDa periplasmic immunogenic protein
HNJIGEIF_01727	CDS	1563	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
HNJIGEIF_01728	CDS	864				hypothetical protein
HNJIGEIF_01729	CDS	1638	pckA_2	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
HNJIGEIF_01730	CDS	156				hypothetical protein
HNJIGEIF_01731	tRNA	75				tRNA-Gly(gcc)
HNJIGEIF_01732	CDS	525				hypothetical protein
HNJIGEIF_01733	CDS	1092	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
HNJIGEIF_01734	CDS	894	folD		COG0190	Bifunctional protein FolD protein
HNJIGEIF_01735	CDS	1035				hypothetical protein
HNJIGEIF_01736	CDS	420				hypothetical protein
HNJIGEIF_01737	CDS	819	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
HNJIGEIF_01738	CDS	834	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
HNJIGEIF_01739	CDS	540	skp		COG2825	Chaperone protein Skp
HNJIGEIF_01740	CDS	525				hypothetical protein
HNJIGEIF_01741	CDS	2535	bamA_4		COG4775	Outer membrane protein assembly factor BamA
HNJIGEIF_01742	CDS	831	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
HNJIGEIF_01743	CDS	1443		3.4.24.-	COG0750	Putative zinc metalloprotease
HNJIGEIF_01744	CDS	1206	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
HNJIGEIF_01745	CDS	1920	cpoB_2			Cell division coordinator CpoB
HNJIGEIF_01746	CDS	1278				hypothetical protein
HNJIGEIF_01747	CDS	555				hypothetical protein
HNJIGEIF_01748	CDS	402				hypothetical protein
HNJIGEIF_01749	CDS	924	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
HNJIGEIF_01750	CDS	1287	serS	6.1.1.11	COG0172	Serine--tRNA ligase
HNJIGEIF_01751	CDS	1086	fbp_2	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
HNJIGEIF_01752	CDS	669	fbiD	2.7.7.68		Phosphoenolpyruvate guanylyltransferase
HNJIGEIF_01753	CDS	1170	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
HNJIGEIF_01754	CDS	1320	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HNJIGEIF_01755	CDS	3582				hypothetical protein
HNJIGEIF_01756	CDS	924				hypothetical protein
HNJIGEIF_01757	CDS	1293	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
HNJIGEIF_01758	CDS	1296				hypothetical protein
HNJIGEIF_01759	CDS	987				hypothetical protein
HNJIGEIF_01760	CDS	648		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
HNJIGEIF_01761	CDS	2733	acn	4.2.1.3	COG1048	Aconitate hydratase A
HNJIGEIF_01762	CDS	336				hypothetical protein
HNJIGEIF_01763	CDS	3060	smc_2			Chromosome partition protein Smc
HNJIGEIF_01764	CDS	432				hypothetical protein
HNJIGEIF_01765	CDS	594				hypothetical protein
HNJIGEIF_01766	CDS	468	yqeY		COG1610	putative protein YqeY
HNJIGEIF_01767	CDS	1815	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
HNJIGEIF_01768	CDS	270	ptsH		COG1925	Phosphocarrier protein HPr
HNJIGEIF_01769	CDS	999	sdsA_2	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
HNJIGEIF_01770	CDS	639	adk	2.7.4.3	COG0563	Adenylate kinase
HNJIGEIF_01771	CDS	522				hypothetical protein
HNJIGEIF_01772	CDS	513				hypothetical protein
HNJIGEIF_01773	CDS	276				hypothetical protein
HNJIGEIF_01774	CDS	1056				hypothetical protein
HNJIGEIF_01775	CDS	1242	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
HNJIGEIF_01776	CDS	744	desVI	2.1.1.234		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose
HNJIGEIF_01777	CDS	1371	dapE_3	3.5.1.18		Succinyl-diaminopimelate desuccinylase
HNJIGEIF_01778	tRNA	87				tRNA-Leu(caa)
HNJIGEIF_01779	CDS	1131	xerC_4			Tyrosine recombinase XerC
HNJIGEIF_01780	CDS	1773				hypothetical protein
HNJIGEIF_01781	CDS	684				hypothetical protein
HNJIGEIF_01782	CDS	1080	xerC_5			Tyrosine recombinase XerC
HNJIGEIF_01783	CDS	888				hypothetical protein
HNJIGEIF_01784	CDS	321				hypothetical protein
HNJIGEIF_01785	CDS	1299				hypothetical protein
HNJIGEIF_01786	CDS	471				hypothetical protein
HNJIGEIF_01787	CDS	243				hypothetical protein
HNJIGEIF_01788	CDS	186				hypothetical protein
HNJIGEIF_01789	CDS	894	dpnM	2.1.1.72		Modification methylase DpnIIA
HNJIGEIF_01790	CDS	1116				hypothetical protein
HNJIGEIF_01791	CDS	891				hypothetical protein
HNJIGEIF_01792	CDS	1200	yciC		COG0523	Putative metal chaperone YciC
HNJIGEIF_01793	CDS	2403	btuB_5			Vitamin B12 transporter BtuB
HNJIGEIF_01794	CDS	381				hypothetical protein
HNJIGEIF_01795	CDS	570				hypothetical protein
HNJIGEIF_01796	CDS	441	rppH	3.6.1.-		RNA pyrophosphohydrolase
HNJIGEIF_01797	CDS	783	hdpA_2	3.1.3.-		Dihydroxyacetone phosphatase
HNJIGEIF_01798	CDS	801				hypothetical protein
HNJIGEIF_01799	CDS	501				hypothetical protein
HNJIGEIF_01800	CDS	738				hypothetical protein
HNJIGEIF_01801	CDS	501				hypothetical protein
HNJIGEIF_01802	CDS	1656				hypothetical protein
HNJIGEIF_01803	CDS	807				hypothetical protein
HNJIGEIF_01804	CDS	864				hypothetical protein
HNJIGEIF_01805	tRNA	76				tRNA-Asp(gtc)
HNJIGEIF_01806	CDS	240				hypothetical protein
HNJIGEIF_01807	CDS	375	nqrF_1	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
HNJIGEIF_01808	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
HNJIGEIF_01809	CDS	351				hypothetical protein
HNJIGEIF_01810	CDS	834				hypothetical protein
HNJIGEIF_01811	CDS	1527	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
HNJIGEIF_01812	CDS	1416				hypothetical protein
HNJIGEIF_01813	CDS	573	olsG	2.1.1.344		Ornithine lipid N-methyltransferase
HNJIGEIF_01814	CDS	783	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
HNJIGEIF_01815	CDS	1083	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
HNJIGEIF_01816	CDS	906				hypothetical protein
HNJIGEIF_01817	CDS	1812	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
HNJIGEIF_01818	CDS	1845	ade_2	3.5.4.2		Adenine deaminase
HNJIGEIF_01819	CDS	1374	ade_3	3.5.4.2		Adenine deaminase
HNJIGEIF_01820	CDS	1344	hutI_4	3.5.2.7		Imidazolonepropionase
HNJIGEIF_01821	CDS	1098	nadA	2.5.1.72	COG0379	Quinolinate synthase A
HNJIGEIF_01822	CDS	936	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
HNJIGEIF_01823	CDS	1497	nadB	1.4.3.16	COG0029	L-aspartate oxidase
HNJIGEIF_01824	CDS	414				hypothetical protein
HNJIGEIF_01825	CDS	3333				hypothetical protein
HNJIGEIF_01826	CDS	1419				hypothetical protein
HNJIGEIF_01827	CDS	999				hypothetical protein
HNJIGEIF_01828	CDS	3369				hypothetical protein
HNJIGEIF_01829	CDS	966				hypothetical protein
HNJIGEIF_01830	CDS	165				hypothetical protein
HNJIGEIF_01831	CDS	693				hypothetical protein
HNJIGEIF_01832	CDS	765				hypothetical protein
HNJIGEIF_01833	CDS	432				hypothetical protein
HNJIGEIF_01834	CDS	789		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
HNJIGEIF_01835	CDS	477				hypothetical protein
HNJIGEIF_01836	CDS	228				hypothetical protein
HNJIGEIF_01837	CDS	1941				hypothetical protein
HNJIGEIF_01838	CDS	1284	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
HNJIGEIF_01839	CDS	1230	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
HNJIGEIF_01840	CDS	174				hypothetical protein
HNJIGEIF_01841	CDS	213				hypothetical protein
HNJIGEIF_01842	CDS	327				hypothetical protein
HNJIGEIF_01843	CDS	282				hypothetical protein
HNJIGEIF_01844	CDS	261				hypothetical protein
HNJIGEIF_01845	CDS	225				hypothetical protein
HNJIGEIF_01846	CDS	369				hypothetical protein
HNJIGEIF_01847	CDS	207				hypothetical protein
HNJIGEIF_01848	CDS	264				hypothetical protein
HNJIGEIF_01849	CDS	1185		3.4.11.25		Beta-peptidyl aminopeptidase BapA
HNJIGEIF_01850	CDS	576	algU_2		COG1595	RNA polymerase sigma-H factor
HNJIGEIF_01851	CDS	468				hypothetical protein
HNJIGEIF_01852	CDS	1755				hypothetical protein
HNJIGEIF_01853	CDS	681				hypothetical protein
HNJIGEIF_01854	CDS	525				hypothetical protein
HNJIGEIF_01855	CDS	645				hypothetical protein
HNJIGEIF_01856	CDS	1290				hypothetical protein
HNJIGEIF_01857	CDS	675	tal_1	2.2.1.2	COG0176	Transaldolase
HNJIGEIF_01858	CDS	1395		3.1.-.-	COG1236	Ribonuclease
HNJIGEIF_01859	CDS	2958			COG0247	putative protein
HNJIGEIF_01860	CDS	1680				hypothetical protein
HNJIGEIF_01861	CDS	531				hypothetical protein
HNJIGEIF_01862	CDS	693	pcm_2	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
HNJIGEIF_01863	CDS	801	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
HNJIGEIF_01864	CDS	927	folP	2.5.1.15	COG0294	Dihydropteroate synthase
HNJIGEIF_01865	CDS	1542				hypothetical protein
HNJIGEIF_01866	CDS	840	sigA			RNA polymerase sigma factor SigA
HNJIGEIF_01867	CDS	732				hypothetical protein
HNJIGEIF_01868	CDS	1452			COG2067	Putative outer membrane protein
HNJIGEIF_01869	CDS	1251				hypothetical protein
HNJIGEIF_01870	CDS	981				hypothetical protein
HNJIGEIF_01871	CDS	876	ftsX		COG2177	Cell division protein FtsX
HNJIGEIF_01872	CDS	861	pheA			Bifunctional chorismate mutase/prephenate dehydratase
HNJIGEIF_01873	CDS	438				hypothetical protein
HNJIGEIF_01874	CDS	1587				hypothetical protein
HNJIGEIF_01875	CDS	648				hypothetical protein
HNJIGEIF_01876	CDS	837				hypothetical protein
HNJIGEIF_01877	CDS	1164				hypothetical protein
HNJIGEIF_01878	CDS	453	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
HNJIGEIF_01879	CDS	1917	dtpT		COG3104	Di-/tripeptide transporter
HNJIGEIF_01880	CDS	1890	aspS	6.1.1.12		Aspartate--tRNA ligase
HNJIGEIF_01881	CDS	459				hypothetical protein
HNJIGEIF_01882	CDS	351				hypothetical protein
HNJIGEIF_01883	CDS	1998	dxs_2	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
HNJIGEIF_01884	CDS	714				hypothetical protein
HNJIGEIF_01885	CDS	804	cpdA_3	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HNJIGEIF_01886	CDS	1416	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
HNJIGEIF_01887	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
HNJIGEIF_01888	CDS	1413				hypothetical protein
HNJIGEIF_01889	CDS	762	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
HNJIGEIF_01890	CDS	1236	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
HNJIGEIF_01891	CDS	648	nudL	3.6.1.-		putative Nudix hydrolase NudL
HNJIGEIF_01892	CDS	1239	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
HNJIGEIF_01893	CDS	210				hypothetical protein
HNJIGEIF_01894	CDS	570	betI_1			HTH-type transcriptional regulator BetI
HNJIGEIF_01895	CDS	1413				hypothetical protein
HNJIGEIF_01896	CDS	1092	macA_1		COG0845	Macrolide export protein MacA
HNJIGEIF_01897	CDS	3249	swrC_1		COG0841	Swarming motility protein SwrC
HNJIGEIF_01898	CDS	327				hypothetical protein
HNJIGEIF_01899	CDS	252				hypothetical protein
HNJIGEIF_01900	CDS	615				hypothetical protein
HNJIGEIF_01901	CDS	630				hypothetical protein
HNJIGEIF_01902	CDS	771				hypothetical protein
HNJIGEIF_01903	CDS	756	linX	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
HNJIGEIF_01904	CDS	945				hypothetical protein
HNJIGEIF_01905	CDS	924	gpmI_2	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
HNJIGEIF_01906	CDS	2226	dpp7_1	3.4.14.-		Dipeptidyl-peptidase 7
HNJIGEIF_01907	CDS	2079	dpp7_2	3.4.14.-		Dipeptidyl-peptidase 7
HNJIGEIF_01908	tRNA	86				tRNA-Leu(tag)
HNJIGEIF_01909	CDS	513				hypothetical protein
HNJIGEIF_01910	CDS	711				hypothetical protein
HNJIGEIF_01911	CDS	435				hypothetical protein
HNJIGEIF_01912	CDS	339				hypothetical protein
HNJIGEIF_01913	CDS	345				hypothetical protein
HNJIGEIF_01914	CDS	2409				hypothetical protein
HNJIGEIF_01915	CDS	2031				hypothetical protein
HNJIGEIF_01916	CDS	192				hypothetical protein
HNJIGEIF_01917	CDS	270				hypothetical protein
HNJIGEIF_01918	CDS	1503	yodF		COG0591	putative symporter YodF
HNJIGEIF_01919	CDS	1002				hypothetical protein
HNJIGEIF_01920	CDS	546	ppa_1	3.6.1.1		Inorganic pyrophosphatase
HNJIGEIF_01921	CDS	669				hypothetical protein
HNJIGEIF_01922	CDS	987	egtD	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
HNJIGEIF_01923	CDS	852	yeeZ		COG0451	Protein YeeZ
HNJIGEIF_01924	CDS	801				hypothetical protein
HNJIGEIF_01925	CDS	1113				hypothetical protein
HNJIGEIF_01926	CDS	3573				hypothetical protein
HNJIGEIF_01927	CDS	1308				hypothetical protein
HNJIGEIF_01928	CDS	3495	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_01929	CDS	3036	tolB_3			Tol-Pal system protein TolB
HNJIGEIF_01930	CDS	465				hypothetical protein
HNJIGEIF_01931	CDS	1581				hypothetical protein
HNJIGEIF_01932	CDS	1347				hypothetical protein
HNJIGEIF_01933	CDS	1794				hypothetical protein
HNJIGEIF_01934	CDS	1338	nagA	3.2.1.49		Alpha-N-acetylgalactosaminidase
HNJIGEIF_01935	CDS	1050				hypothetical protein
HNJIGEIF_01936	CDS	1878	sglT_1			Sodium/glucose cotransporter
HNJIGEIF_01937	CDS	1302	kbaZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
HNJIGEIF_01938	CDS	1212	agaS	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
HNJIGEIF_01939	CDS	1059	lacD	4.1.2.40		Tagatose 1,6-diphosphate aldolase
